title;handle;vendor;product_type;tags;created_at;price;sku;image;weight;shape;foam;collection;game_level;frame;surface;professional_player;color;racket_type;balance;gender;racket_cover
Raquette de padel Drop Shot Kibo 4.0;raquette-de-padel-drop-shot-kibo-4-0;Drop Shot;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-06-12T17:06:44+02:00;99.9;4812;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-drop-shot-kibo-4-face.jpg?v=1686640550;poids;forme;mousse;;;;;pro;bleu;;;;
Housse de raquette de padel Wilson Padel Cover Noir;housse-de-raquette-wilson-padel-cover-noir;Wilson;Sac;NONOX, tout, Tout s Nox;2023-06-08T15:51:26+02:00;9.9;4738;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/wilson-housse-raquette-padel-noir.jpg?v=1686232507;;;;;;;;pro;rouge;;;;housse
Housse de raquette de padel Wilson Premium Cover;housse-de-raquette-wilson-premium-cover;Wilson;Sac;NONOX, tout, Tout s Nox;2023-06-08T15:25:19+02:00;19.9;4737;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/wilson-housse-raquette-padel-premium.jpg?v=1686231150;;;;;;;;pro;;;;;housse
Raquette de padel Slazenger Light Round Graphite;raquette-de-padel-slazenger-light-round-graphite;Slazenger;Raquettes;+ de 200€, Contrôle, Légère, NONOX, NORNOX, Ronde, Slazenger, Soft EVA, tout, Tout s Nox;2023-05-29T09:09:34+02:00;184.9;4560;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-slazenger-lite-silver-2023-face.png?v=1685344779;poids;forme;mousse;;;carbone;;pro;;;;;housse
Raquette de padel Babolat Storm;raquette-de-padel-babolat-storm;Babolat;Raquettes;- de 100€, Babolat, Débutant, Fibre de verre, Légère, NONOX, NORNOX, Polyvalente, Soft EVA, Tolérance, tout, Tout s Nox;2022-09-05T16:37:00+02:00;64.9;2619;https://cdn.shopify.com/s/files/1/0430/1861/6996/products/raquette-de-padel-babolat-storm-2022-face.jpg?v=1662388622;poids;forme;mousse;;;carbone;;pro;;polyvalente;;;
Raquette de padel Babolat Dyna Spirit;raquette-de-padel-babolat-dyna-spirit;Babolat;Raquettes;150€ - 200€, Babolat, Femmes, Fibre de verre, Goutte d'eau, NONOX, NORNOX, Polyvalente, Soft EVA, Tolérance, tout, Tout s Nox;2023-03-16T15:21:40+01:00;159.9;3984;https://cdn.shopify.com/s/files/1/0430/1861/6996/products/padel-babolat-dyna-spirit-2023-face.png?v=1678977491;;forme;mousse;;;;;pro;;polyvalente;;;
Raquette de padel Babolat Stima Energy;raquette-de-padel-babolat-stima-energy;Babolat;Raquettes;+ de 200€, Babolat, Carbone, Femmes, Légère, NONOX, NORNOX, Tolérance, tout, Tout s Nox;2023-03-16T14:11:02+01:00;159.9;3983;https://cdn.shopify.com/s/files/1/0430/1861/6996/products/de-padel-babolat-stima-energy-face.png?v=1678972804;poids;forme;mousse;;;carbone;;pro;;;;;
Raquette de padel Babolat Stima Spirit;raquette-de-padel-babolat-stima-spirit;Babolat;Raquettes;150€ - 200€, Avancé, Babolat, Contrôle, Femmes, Fibre de verre, Légère, NONOX, NORNOX, Ronde, Tolérance, tout, Tout s Nox;2023-03-16T11:23:56+01:00;154.9;3982;https://cdn.shopify.com/s/files/1/0430/1861/6996/products/raquette-de-padel-babolat-stima-spirit-2023-face.jpg?v=1678962655;poids;forme;mousse;;;;;pro;;;;femme;
Raquette de padel Babolat Dyna Energy;raquette-de-padel-babolat-dyna-energy;Babolat;Raquettes;+ de 200€, Babolat, Carbone, confort, Femmes, Goutte d'eau, NONOX, NORNOX, Polyvalente, Soft EVA, tout, Tout s Nox;2023-03-15T14:50:58+01:00;194.9;3931;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-babolat-dyna-energy-face.png?v=1743780416;poids;forme;mousse;;;carbone;;pro;;polyvalente;;;
Raquette de padel Pro Kennex Kinetic Focus Pro Jaune;raquette-de-padel-pro-kennex-kinetic-focus-pro-jaune;Pro Kennex;Raquettes;150€ - 200€, Diamant, NONOX, NORNOX, Pro Kennex, Soft EVA, Tolérance, tout, Tout s Nox;2023-03-09T10:12:53+01:00;205.9;3920;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-pro-kennex-Kinetic-Focus-pro-jaune-face.png?v=1712924540;;forme;foam;;;carbone;;pro;;;;;
Raquette de padel Pro Kennex Kinetic Legend Pro;raquette-de-padel-pro-kennex-kinetic-legend-pro;Pro Kennex;Raquettes;+ de 200€, Carbone, Contrôle, NONOX, NORNOX, Pro Kennex, Soft EVA, tout, Tout s Nox;2023-03-09T11:26:44+01:00;188.9;3921;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-pro-kennex-Kinetic-legend-pro-bleu-face.png?v=1712924011;;forme;foam;;;carbone;;pro;;;;;
Raquette de padel Fila The Bellator;raquette-de-padel-fila-the-bellator;Fila;Raquettes;150€ - 200€, Carbone, Contrôle, Intermédiaire, NONOX, NORNOX, Ronde, Soft EVA, tout, Tout s Nox;2023-03-08T14:27:44+01:00;99.9;3916;https://cdn.shopify.com/s/files/1/0430/1861/6996/products/raquette-de-padel-fila-the-bellator-face.png?v=1678282457;;forme;mousse;;;carbone;;;bleu;;;;
Raquette de padel Fila The Inceptor;raquette-de-padel-fila-the-inceptor;Fila;Raquettes;100€ - 150€, Contrôle, Fibre de verre, Fila, Intermédiaire, NONOX, NORNOX, Ronde, Soft EVA, Tolérance, tout, Tout s Nox;2023-03-08T13:59:36+01:00;69.9;3915;https://cdn.shopify.com/s/files/1/0430/1861/6996/products/raquette-de-padel-fila-the-inceptor-face.jpg?v=1678281114;;forme;mousse;;;carbone;;;;;;;
Raquette de padel Osaka Pro Tour Control Touch;raquette-de-padel-osaka-pro-tour-control-touch;Osaka;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-03-03T11:42:45+01:00;299.9;3880;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-osaka-pro-tour-control-touch-face.png?v=1743775695;;forme;foam;;;carbone;sablée;pro;;;;;housse
Raquette de padel Osaka Pro Tour Control Snap;raquette-de-padel-osaka-pro-tour-control-snap;Osaka;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-02-27T13:25:08+01:00;299.9;3878;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-osaka-pro-tour-control-snap-face.png?v=1743774081;;forme;foam;;;carbone;sablée;pro;noir;;;;
Raquette de padel Osaka Vision Aero Control;raquette-de-padel-osaka-vision-aero-control;Osaka;Raquettes;NONOX, NORNOX, tout, Tout s Nox;2023-02-27T12:49:08+01:00;199.9;3877;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-osaka-vision-aero-control-face.png?v=1743773841;;forme;foam;;;carbone;sablée;pro;;;;;
Raquette de padel Osaka Vision Pro Control Touch;raquette-de-padel-osaka-vision-pro-control-touch;Osaka;Raquettes;150€ - 200€, Carbone, Contrôle, NONOX, NORNOX, Osaka, Ronde, Siux, Soft EVA, tout, Tout s Nox;2023-02-27T11:59:22+01:00;199.9;3876;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-osaka-vision-pro-control-touch-face.png?v=1743773607;;forme;foam;;;carbone;sablée;pro;;;;;
Raquette de padel Osaka Vision Pro Control;raquette-de-padel-osaka-vision-pro;Osaka;Raquettes;150€ - 200€, Avancé, Carbon, Contrôle, NONOX, NORNOX, Osaka, Ronde, Soft EVA, tout, Tout s Nox;2023-02-27T11:01:49+01:00;199.9;3875;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-osaka-vision-pro-face.png?v=1743773415;;forme;foam;;;carbone;sablée;pro;bleu;;;;
Raquette de padel Osaka Vision Control Orange;raquette-de-padel-osaka-vision-orange;Osaka;Raquettes;100€ - 150€, NONOX, NORNOX, Osaka, tout, Tout s Nox;2023-02-22T15:56:15+01:00;149.9;3872;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-osaka-vision-orange-face.png?v=1743773203;;forme;foam;;;carbone;sablée;pro;;;;;
Raquette de padel Osaka Vision Aero;raquette-de-padel-osaka-vision-aero;Osaka;Raquettes;150€ - 200€, Avancé, Contrôle, Fibre de verre, NONOX, NORNOX, Osaka, Ronde, Soft EVA, tout, Tout s Nox;2023-02-22T15:32:23+01:00;199.9;3871;https://cdn.shopify.com/s/files/1/0430/1861/6996/files/raquette-de-padel-osaka-vision-aero-face.png?v=1743775009;;forme;foam;;;carbone;sablée;;;;;;housse
